Metric,OSS,OSS4SG,p-value,Effect Size
core_ratio,0.053 [0.027-0.122],0.129 [0.082-0.176],<0.001,-0.448 (medium)
one_time_ratio,0.566 [0.480-0.650],0.251 [0.155-0.376],<0.001,0.821 (large)
gini_coefficient,0.878 [0.823-0.913],0.832 [0.782-0.884],<0.001,0.283 (small)
bus_factor,2.000 [1.000-4.000],3.000 [2.000-5.000],<0.001,-0.357 (medium)
active_ratio,0.035 [0.018-0.064],0.063 [0.033-0.112],<0.001,-0.347 (medium)
