project_name,total_months_analyzed,avg_transition_rate,median_transition_rate,max_transition_rate,std_transition_rate,total_truly_new_core_added,avg_existing_core_count,final_ever_core_count,final_active_core_count,months_with_new_core,new_core_frequency,project_start_month,project_end_month,total_commits_analyzed,project_type
uber/RIBs,50,0.02987973137973138,0.0,0.25,0.06331405237155838,12,10.92,16,12,11,0.22,2017-11,2024-11,596,OSS
http4s/http4s,147,0.025447885239009926,0.0,1.0,0.10209619279780699,23,12.646258503401361,24,18,21,0.14285714285714285,2013-02,2025-08,17855,OSS
rubenlagus/TelegramBots,99,0.04311912374926077,0.0,1.5,0.18461213003143284,25,16.414141414141415,26,21,20,0.20202020202020202,2016-02,2025-06,1142,OSS
sferik/t-ruby,61,0.00819672131147541,0.0,0.5,0.064018439966448,1,2.0655737704918034,3,2,1,0.01639344262295082,2011-12,2025-04,1069,OSS
qbittorrent/qBittorrent,227,0.010058737151248163,0.0,1.0,0.07984065051526701,5,3.052863436123348,6,6,5,0.022026431718061675,2006-10,2025-08,13396,OSS
heroku/heroku-buildpack-nodejs,144,0.01800595238095238,0.0,1.0,0.10122018476352194,7,4.270833333333333,8,8,7,0.04861111111111111,2011-06,2025-08,1826,OSS
GeekyAnts/NativeBase,83,0.03429034693823692,0.0,0.5,0.08407792773925912,24,13.783132530120483,26,19,19,0.2289156626506024,2016-05,2024-12,6327,OSS
dariuszseweryn/RxAndroidBle,78,0.010683760683760682,0.0,0.5,0.06763231161308605,2,3.1923076923076925,4,3,2,0.02564102564102564,2016-02,2025-06,1011,OSS
boto/boto,138,0.032710846049503736,0.0,1.0,0.10500358590395906,50,19.630434782608695,51,49,41,0.2971014492753623,2006-09,2022-05,7219,OSS
HandBrake/HandBrake,230,0.015092196450892102,0.0,1.0,0.08875097593037604,16,14.23913043478261,17,9,14,0.06086956521739131,2006-02,2025-08,13101,OSS
BehaviorTree/BehaviorTree.CPP,86,0.026550387596899223,0.0,1.0,0.1284746588012452,5,5.5813953488372094,6,3,5,0.05813953488372093,2016-02,2025-07,1483,OSS
splitrb/split,127,0.026853899036927812,0.0,0.6,0.08166663080885385,40,24.708661417322833,42,31,33,0.25984251968503935,2011-06,2025-08,1250,OSS
h2non/bimg,69,0.01859903381642512,0.0,0.5,0.08041641175841233,4,3.4347826086956523,6,6,4,0.057971014492753624,2015-04,2024-03,615,OSS
google/brotli,107,0.027373535083815455,0.0,1.0,0.11774578932931963,10,5.841121495327103,11,10,10,0.09345794392523364,2013-11,2025-08,1313,OSS
kartik-v/bootstrap-fileinput,110,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2014-04,2024-12,1307,OSS
WebAssembly/binaryen,118,0.019350282485875704,0.0,1.0,0.11014473640684853,5,4.127118644067797,6,4,5,0.0423728813559322,2015-11,2025-08,7969,OSS
trimstray/the-book-of-secret-knowledge,44,0.041666666666666664,0.0,1.0,0.17285040058360338,3,2.090909090909091,4,4,3,0.06818181818181818,2018-07,2024-11,1069,OSS
dabeaz/curio,62,0.024193548387096774,0.0,1.0,0.14105630066641597,2,2.725806451612903,3,2,2,0.03225806451612903,2015-11,2024-04,955,OSS
mitchellkrogza/apache-ultimate-bad-bot-blocker,93,0.02240143369175627,0.0,1.0,0.12233868960295265,4,4.10752688172043,5,3,4,0.043010752688172046,2016-09,2025-08,3344,OSS
greenrobot/EventBus,56,0.037202380952380945,0.0,1.0,0.15644378315279034,4,3.142857142857143,5,3,4,0.07142857142857142,2012-08,2022-07,550,OSS
boto/boto3,130,0.01994505494505494,0.0,1.0,0.10638828890113737,7,6.615384615384615,8,3,7,0.05384615384615385,2014-10,2025-08,6949,OSS
presidentbeef/brakeman,176,0.002840909090909091,0.0,0.5,0.03768891807222044,1,2.977272727272727,3,2,1,0.005681818181818182,2010-09,2025-07,4086,OSS
square/okhttp,162,0.028608171663727224,0.0,4.0,0.3149605682538471,8,7.228395061728395,9,5,5,0.030864197530864196,2011-06,2025-08,6000,OSS
