project_name,total_months_analyzed,avg_transition_rate,median_transition_rate,max_transition_rate,std_transition_rate,total_truly_new_core_added,avg_existing_core_count,final_ever_core_count,final_active_core_count,months_with_new_core,new_core_frequency,project_start_month,project_end_month,total_commits_analyzed,project_type
hibernate/hibernate-orm,218,0.017680824386307546,0.0,1.0,0.08421645841691008,26,15.889908256880734,27,16,26,0.11926605504587157,2007-07,2025-08,22064,OSS
gunthercox/ChatterBot,76,0.02412280701754386,0.0,1.0,0.13250841306182692,3,2.763157894736842,4,1,3,0.039473684210526314,2014-10,2025-07,2013,OSS
Baekalfen/PyBoy,71,0.02112676056338028,0.0,1.0,0.13192583734566982,2,2.5774647887323945,3,1,2,0.028169014084507043,2016-02,2025-05,935,OSS
lets-blade/blade,47,0.02304964539007092,0.0,0.5,0.09309189731920751,3,3.595744680851064,5,4,3,0.06382978723404255,2017-07,2025-02,903,OSS
bioconda/bioconda-recipes,119,0.040506635807359526,0.013157894736842105,1.3333333333333333,0.1298487702249989,188,115.14285714285714,191,174,90,0.7563025210084033,2015-10,2025-08,58086,OSS
voxpupuli/beaker,165,0.028390786858880444,0.0,2.0,0.16251126297770657,35,23.36969696969697,36,31,32,0.19393939393939394,2010-07,2025-08,5829,OSS
OpenMathLib/OpenBLAS,175,0.0189613085327371,0.0,1.0,0.0933883967207973,15,9.84,16,12,15,0.08571428571428572,2011-02,2025-08,9502,OSS
jenkinsci/bitbucket-branch-source-plugin,98,0.05467633450728614,0.0,3.0,0.31390540198752337,30,22.153061224489797,31,18,22,0.22448979591836735,2016-04,2025-07,1118,OSS
opensourceBIM/BIMserver,150,0.006666666666666667,0.0,1.0,0.08164965809277258,1,1.9933333333333334,2,1,1,0.006666666666666667,2010-09,2025-07,5076,OSS
coolsnowwolf/lede,95,0.04030748075509005,0.0,1.0,0.1255579543255357,25,11.926315789473684,26,23,22,0.23157894736842105,2017-10,2025-08,7536,OSS
elastic/beats,138,0.02465654975071287,0.0,0.5,0.07102803203507779,42,18.26086956521739,44,43,39,0.2826086956521739,2014-03,2025-08,19034,OSS
mozilla/bedrock,176,0.015331755726096775,0.0,0.5,0.05741950072806217,21,15.659090909090908,23,15,20,0.11363636363636363,2011-01,2025-08,16398,OSS
BytomDAO/bytom,42,0.09661608233036804,0.0,2.0,0.34148306393697453,15,12.523809523809524,16,14,10,0.23809523809523808,2017-08,2022-10,2278,OSS
bokeh/bokeh,161,0.013984859171194573,0.0,0.5,0.05833674104650951,13,12.229813664596273,15,15,13,0.08074534161490683,2012-04,2025-08,20807,OSS
blynkkk/blynk-library,79,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2015-03,2025-06,2058,OSS
hhxsv5/laravel-s,65,0.015384615384615385,0.0,1.0,0.12403473458920845,1,1.5538461538461539,2,2,1,0.015384615384615385,2018-02,2025-06,1802,OSS
malwaredllc/byob,34,0.04264705882352941,0.0,0.5,0.11409069406646986,5,5.5588235294117645,7,6,5,0.14705882352941177,2018-07,2024-07,765,OSS
ReFirmLabs/binwalk,102,0.004901960784313725,0.0,0.5,0.04950737714883373,1,2.715686274509804,3,2,1,0.00980392156862745,2013-12,2025-07,1752,OSS
BLCM/BLCMods,87,0.06605130279060221,0.0,4.0,0.4321799936577079,46,42.40229885057471,48,37,20,0.22988505747126436,2017-04,2025-07,13940,OSS
bootstrap-vue/bootstrap-vue,70,0.028032879818594102,0.0,0.5,0.09223324158091378,9,8.785714285714286,11,6,8,0.11428571428571428,2016-11,2025-03,5424,OSS
boostorg/boost,301,0.010261788125380564,0.0,0.5,0.04409795700176596,32,26.441860465116278,34,27,32,0.10631229235880399,2000-08,2025-08,51725,OSS
google/blockly,135,0.026303760229628825,0.0,1.0,0.1060678673787819,19,13.25925925925926,20,12,18,0.13333333333333333,2013-12,2025-08,9159,OSS
jarun/buku,109,0.0191131498470948,0.0,1.0,0.11319403403864238,4,2.1559633027522938,5,4,4,0.03669724770642202,2015-12,2025-06,2202,OSS
bkaradzic/bgfx,159,0.006813417190775681,0.0,0.5,0.05132608024811246,3,4.132075471698113,5,3,3,0.018867924528301886,2012-05,2025-07,8930,OSS
davidstutz/bootstrap-multiselect,73,0.05216811244865409,0.0,1.0,0.14352328685783394,24,16.315068493150687,25,13,20,0.273972602739726,2012-11,2022-07,793,OSS
philc/vimium,165,0.01728956228956229,0.0,1.0,0.09732299825171672,9,8.787878787878787,10,4,8,0.048484848484848485,2009-11,2025-06,5281,OSS
jashkenas/underscore,129,0.02913758993132097,0.0,1.0,0.11015662183825069,23,15.875968992248062,24,17,20,0.15503875968992248,2009-11,2024-10,2853,OSS
buildroot/buildroot,282,0.016191284955369246,0.0,1.0,0.07480804648695552,53,23.52836879432624,54,46,49,0.17375886524822695,2002-01,2025-08,78183,OSS
WorldBrain/Memex,90,0.03355419272085939,0.0,1.0,0.12793531755588278,11,9.644444444444444,12,4,11,0.12222222222222222,2017-02,2024-07,13398,OSS
scratchfoundation/scratch-blocks,123,0.023039500899625524,0.0,0.6,0.08251409222003253,22,16.48780487804878,24,15,19,0.15447154471544716,2013-11,2025-04,12342,OSS
Bukkit/Bukkit,44,0.0642639872753509,0.0,1.5,0.23162032501632673,15,13.181818181818182,17,16,11,0.25,2011-01,2014-08,1509,OSS
google/blockly-games,110,0.008636363636363636,0.0,0.3333333333333333,0.046252631309660334,4,6.181818181818182,7,3,4,0.03636363636363636,2014-12,2024-05,1262,OSS
wiredtiger/wiredtiger,199,0.012311557788944725,0.0,1.0,0.08590650227345108,6,2.9346733668341707,7,7,6,0.03015075376884422,2008-12,2025-08,25323,OSS
uxsolutions/bootstrap-datepicker,93,0.05844314662687961,0.009615384615384616,2.0,0.22344312613514844,130,90.26881720430107,132,95,52,0.5591397849462365,2012-04,2023-05,1680,OSS
NSFI/ppfish-components,50,0.017333333333333333,0.0,0.6666666666666666,0.09787770610038796,3,5.02,6,5,2,0.04,2018-04,2022-08,3391,OSS
sammchardy/python-binance,80,0.03821969696969697,0.0,1.0,0.1395574862776918,11,3.775,12,9,9,0.1125,2017-09,2025-07,1457,OSS
bitcoinbook/bitcoinbook,109,0.022178305893902225,0.0,0.6666666666666666,0.08795820300093674,14,9.917431192660551,16,11,11,0.10091743119266056,2013-08,2024-12,5210,OSS
EbookFoundation/free-programming-books,142,0.026878290713576343,0.014036643026004728,0.32075471698113206,0.045720597321868416,1966,690.387323943662,2019,1329,137,0.9647887323943662,2013-11,2025-08,9528,OSS
thoughtbot/factory_bot,170,0.028928103281519763,0.0,1.0,0.09795283016793324,72,30.41176470588235,73,59,51,0.3,2008-06,2025-08,1277,OSS
heroku/heroku-buildpack-ruby,156,0.011752136752136752,0.0,1.0,0.09296428475028694,3,3.391025641025641,4,3,3,0.019230769230769232,2011-06,2025-07,2347,OSS
jakubgarfield/Bonobo-Git-Server,63,0.07808122094597553,0.0,3.0,0.3788545914419548,23,14.333333333333334,24,15,17,0.2698412698412698,2011-06,2021-03,1127,OSS
BlackArch/blackarch,162,0.016211052322163435,0.0,1.0,0.09848056727812804,7,6.91358024691358,8,4,6,0.037037037037037035,2009-09,2025-08,25038,OSS
zostera/django-bootstrap3,107,0.02643895564456312,0.0,1.0,0.11756061322921958,9,8.271028037383177,10,2,9,0.08411214953271028,2013-10,2025-07,1166,OSS
RoaringBitmap/RoaringBitmap,129,0.006459948320413436,0.0,0.5,0.052717393717297244,2,3.108527131782946,4,4,2,0.015503875968992248,2013-08,2025-08,2515,OSS
buefy/buefy,97,0.0257227636927455,0.0,0.5,0.07407148049120257,17,9.88659793814433,19,11,17,0.17525773195876287,2017-05,2025-08,3364,OSS
vlachoudis/bCNC,111,0.02207207207207207,0.0,1.0,0.11430868543761478,6,4.756756756756757,7,7,6,0.05405405405405406,2014-11,2025-07,2257,OSS
twbs/bootstrap-sass,64,0.04522569444444444,0.0,1.0,0.15911728379239545,9,7.96875,10,4,7,0.109375,2011-10,2023-06,1040,OSS
aws/s2n-tls,126,0.0327616867605208,0.0,1.0,0.11260776397479837,33,18.69047619047619,34,28,30,0.23809523809523808,2014-10,2025-07,5253,OSS
felangel/bloc,80,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2018-11,2025-08,2592,OSS
exercism/website-copy,82,0.16187661738008247,0.010278806010513328,9.5,1.0515012319294839,542,382.5853658536585,544,427,64,0.7804878048780488,2017-09,2025-06,3523,OSS
marionettejs/backbone.marionette,90,0.04275765915333825,0.0,1.0,0.13067970976968218,25,14.911111111111111,26,21,21,0.23333333333333334,2012-01,2022-12,3395,OSS
StanzaOrg/lbstanza,104,0.009615384615384616,0.0,1.0,0.09805806756909202,1,1.3942307692307692,2,2,1,0.009615384615384616,2015-07,2024-12,5756,OSS
psf/black,88,0.06419642984152044,0.012270400481782595,1.0,0.1575009204350012,121,67.0,122,91,63,0.7159090909090909,2018-04,2025-08,2010,OSS
Homebrew/brew,195,0.020994245096403373,0.0,1.0,0.08910687525262455,33,13.42051282051282,34,27,31,0.15897435897435896,2009-06,2025-08,45917,OSS
axiomatic-systems/Bento4,191,0.002617801047120419,0.0,0.5,0.036178730264621074,1,2.4712041884816753,3,2,1,0.005235602094240838,2005-12,2025-06,1292,OSS
async-labs/builderbook,55,0.03333333333333333,0.0,1.0,0.15515822270854376,3,3.418181818181818,4,4,3,0.05454545454545454,2018-01,2025-03,579,OSS
BlueWallet/BlueWallet,90,0.02501735918402585,0.0,0.5,0.07641310667266152,13,10.255555555555556,15,8,13,0.14444444444444443,2018-03,2025-08,12917,OSS
rappasoft/laravel-boilerplate,73,0.035388127853881284,0.0,2.0,0.23811154542980711,4,4.068493150684931,5,3,3,0.0410958904109589,2015-03,2023-02,3006,OSS
thomaspark/bootswatch,146,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2012-03,2025-07,2321,OSS
s3tools/s3cmd,171,0.016543673999814348,0.0,1.0,0.09371314813323456,9,5.742690058479532,10,9,9,0.05263157894736842,2007-02,2025-07,1935,OSS
baconjs/bacon.js,92,0.016304347826086956,0.0,1.0,0.11604960469609299,2,2.3260869565217392,3,2,2,0.021739130434782608,2012-03,2025-04,3015,OSS
wenzhixin/bootstrap-table-examples,85,0.01764705882352941,0.0,1.0,0.1206889652392969,2,2.764705882352941,3,2,2,0.023529411764705882,2015-01,2025-07,950,OSS
bqplot/bqplot,104,0.031742216117216115,0.0,2.0,0.2077028376700619,8,7.461538461538462,9,8,6,0.057692307692307696,2015-01,2024-10,3667,OSS
bazelbuild/bazel,126,0.016757477292752374,0.0,0.16666666666666666,0.0305872561624722,87,72.71428571428571,100,74,57,0.4523809523809524,2015-03,2025-08,43679,OSS
confluentinc/confluent-kafka-python,104,0.0312650223707916,0.0,1.0,0.11964087322006513,14,8.932692307692308,15,14,14,0.1346153846153846,2016-05,2025-07,981,OSS
sc-forks/solidity-coverage,69,0.026570048309178744,0.0,1.0,0.13892440580262352,3,3.8115942028985508,4,3,3,0.043478260869565216,2016-10,2025-05,1023,OSS
aws-actions/amazon-ecr-login,64,0.04348958333333334,0.0,2.0,0.2548751672089464,5,5.28125,6,4,4,0.0625,2019-11,2025-06,834,OSS
postmanlabs/openapi-to-postman,78,0.04290769771539002,0.0,1.0,0.16380932795620745,13,10.551282051282051,14,10,12,0.15384615384615385,2018-04,2025-07,2520,OSS
claudehohl/Stikked,60,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2012-05,2019-11,992,OSS
dart-lang/site-www,109,0.01685243910014552,0.0,0.3333333333333333,0.05646776790972449,13,9.614678899082568,16,11,11,0.10091743119266056,2016-08,2025-08,4387,OSS
sintaxi/harp,59,0.01694915254237288,0.0,1.0,0.13018891098082389,1,1.5932203389830508,2,2,1,0.01694915254237288,2013-01,2025-06,707,OSS
actuallymentor/battery,24,0.08680555555555557,0.0,1.0,0.2324506683245046,4,2.5,5,5,4,0.16666666666666666,2022-02,2025-06,305,OSS
pablof7z/chardin.js,29,0.05901789781100126,0.0,0.3333333333333333,0.10362322833892836,11,9.310344827586206,14,7,9,0.3103448275862069,2013-07,2024-02,127,OSS
linuxmint/cinnamon,166,0.006303710345814638,0.0,0.2,0.022330718509301503,26,35.3433734939759,41,17,21,0.12650602409638553,2011-11,2025-08,8912,OSS
ElasticHQ/elasticsearch-HQ,42,0.023809523809523808,0.0,1.0,0.15430334996209188,1,1.380952380952381,2,2,1,0.023809523809523808,2013-06,2021-11,804,OSS
ampproject/amphtml,116,0.027176456044029233,0.0,0.3333333333333333,0.058463094677591455,54,41.53448275862069,57,54,44,0.3793103448275862,2015-10,2025-07,22568,OSS
riot/riot,123,0.02848628668212599,0.0,1.0,0.11651764822617461,17,15.439024390243903,18,7,13,0.10569105691056911,2013-11,2025-07,4009,OSS
apexcharts/apexcharts.js,83,0.012048192771084338,0.0,1.0,0.10976425998969035,1,1.6385542168674698,2,2,1,0.012048192771084338,2018-08,2025-07,3575,OSS
josdejong/mathjs,148,0.019264800514800517,0.0,1.0,0.11382994413206143,8,7.168918918918919,9,8,6,0.04054054054054054,2013-03,2025-07,5430,OSS
paperjs/paper.js,109,0.0,0.0,0.0,0.0,0,2.0,2,2,0,0.0,2011-03,2024-07,7408,OSS
chinese-poetry/chinese-poetry,75,0.042401783401783404,0.0,1.0,0.13930573296396004,13,9.493333333333334,14,14,13,0.17333333333333334,2017-03,2025-04,629,OSS
poteto/hiring-without-whiteboards,86,0.011928568354671366,0.0065095726517452775,0.1440677966101695,0.019100112924780144,591,717.1279069767442,932,722,80,0.9302325581395349,2017-04,2025-07,2140,OSS
agalwood/Motrix,39,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2019-01,2023-06,1170,OSS
NARKOZ/hacker-scripts,17,0.05876546570045022,0.0,0.46153846153846156,0.12936469658415034,18,26.764705882352942,31,27,6,0.35294117647058826,2015-12,2022-08,150,OSS
moment/moment,122,0.04314508859631011,0.0,1.0,0.11650001229362329,98,49.71311475409836,99,97,59,0.48360655737704916,2011-04,2024-02,4064,OSS
facebook/react,147,0.02047425305636377,0.0,0.3333333333333333,0.04479683865618573,98,69.37414965986395,104,47,63,0.42857142857142855,2013-06,2025-08,20691,OSS
trekhleb/javascript-algorithms,45,0.12623788878861344,0.0,3.3333333333333335,0.5185351449685952,27,7.088888888888889,28,18,8,0.17777777777777778,2018-04,2025-02,1120,OSS
Chalarangelo/30-seconds-of-code,90,0.1247964997964998,0.0,11.0,1.1593115385913988,14,14.21111111111111,15,6,4,0.044444444444444446,2017-12,2025-07,10153,OSS
nodejs/node,198,0.02970211436792211,0.005633847521107091,1.0,0.09015686970556497,189,80.38383838383838,190,169,106,0.5353535353535354,2009-03,2025-08,44712,OSS
mrdoob/three.js,184,0.023786508892434523,0.0,1.0,0.09297100160255554,43,20.96195652173913,44,40,37,0.20108695652173914,2010-05,2025-08,45657,OSS
alexanderjeurissen/ranger_devicons,37,0.07813379833335414,0.0,0.5,0.11394468657761199,25,10.64864864864865,27,13,18,0.4864864864864865,2017-07,2025-06,108,OSS
jonrau1/ElectricEye,42,0.06626984126984127,0.0,2.0,0.3134839651600067,5,4.642857142857143,6,3,4,0.09523809523809523,2020-03,2025-02,1903,OSS
python-hyper/h2,67,0.014925373134328358,0.0,1.0,0.1221694443563052,1,1.6417910447761195,2,2,1,0.014925373134328358,2015-07,2025-04,1656,OSS
unitedstates/congress,88,0.020833333333333332,0.0,1.0,0.123312362305318,3,3.647727272727273,4,4,3,0.03409090909090909,2012-09,2025-05,782,OSS
paul-nameless/tg,16,0.125,0.0,2.0,0.5,2,2.875,3,3,1,0.0625,2020-05,2025-06,516,OSS
landing-ai/vision-agent,17,0.04901960784313725,0.0,0.5,0.14147911460452756,2,3.0588235294117645,4,4,2,0.11764705882352941,2024-03,2025-07,728,OSS
commonmark/commonmark-spec,87,0.02681992337164751,0.0,2.0,0.21696991780317976,3,3.9080459770114944,4,2,2,0.022988505747126436,2014-08,2025-05,1839,OSS
lyst/lightfm,58,0.022126436781609193,0.0,0.5,0.08738054675729115,4,2.7241379310344827,6,6,4,0.06896551724137931,2015-08,2023-04,483,OSS
awslabs/gluonts,66,0.020726135215651115,0.0,0.16666666666666666,0.042890264619824765,16,16.818181818181817,22,17,14,0.21212121212121213,2019-06,2025-06,1483,OSS
wger-project/wger,125,0.008,0.0,1.0,0.08944271909999157,1,1.264,2,2,1,0.008,2012-09,2025-07,8175,OSS
smicallef/spiderfoot,121,0.01887052341597796,0.0,1.0,0.10880117248058353,5,3.4958677685950414,6,5,5,0.04132231404958678,2012-09,2023-11,3742,OSS
chidiwilliams/buzz,33,0.030303030303030304,0.0,1.0,0.17407765595569785,1,1.3636363636363635,2,2,1,0.030303030303030304,2022-10,2025-07,591,OSS
marimo-team/marimo,24,0.03472222222222222,0.0,0.5,0.12017666812654101,2,2.25,4,4,2,0.08333333333333333,2023-09,2025-08,3925,OSS
ActivityWatch/activitywatch,91,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2016-05,2025-02,1028,OSS
lra/mackup,114,0.03552528416915306,0.009302526825891312,0.6666666666666666,0.07903720718585941,120,63.175438596491226,123,114,66,0.5789473684210527,2013-05,2025-07,2344,OSS
RVC-Boss/GPT-SoVITS,19,0.03653605166763061,0.0,0.3333333333333333,0.07890313056101148,8,14.368421052631579,17,13,6,0.3157894736842105,2024-02,2025-08,1011,OSS
microsoft/autogen,55,0.07008847821842133,0.038461538461538464,0.5,0.09707090534874559,66,25.8,68,55,33,0.6,2021-02,2025-08,3735,OSS
Asabeneh/30-Days-Of-Python,20,0.05,0.0,1.0,0.22360679774997894,1,1.8,2,2,1,0.05,2019-12,2025-06,443,OSS
charlax/professional-programming,99,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2016-02,2025-08,452,OSS
minimaxir/big-list-of-naughty-strings,30,0.036360870578511756,0.0,0.36363636363636365,0.07589149801494602,19,24.266666666666666,30,29,12,0.4,2015-09,2021-04,273,OSS
public-apis/public-apis,82,0.03197127959169384,0.0199601593625498,0.4,0.05332581096793385,606,327.1219512195122,661,468,66,0.8048780487804879,2016-04,2025-05,4536,OSS
vinta/awesome-python,98,0.07783412145507582,0.007696406370256349,6.2,0.625518283656487,138,107.37755102040816,143,127,55,0.5612244897959183,2014-07,2025-07,1683,OSS
TheAlgorithms/Python,106,0.05613460129139887,0.014888429141421605,0.8888888888888888,0.11194358814311835,825,361.311320754717,829,573,95,0.8962264150943396,2016-08,2025-07,3553,OSS
Significant-Gravitas/AutoGPT,28,1.9400006199849305,0.0,54.0,10.202832248739323,74,67.60714285714286,75,30,12,0.42857142857142855,2023-04,2025-07,7029,OSS
AUTOMATIC1111/stable-diffusion-webui,23,0.37778718316571164,0.024691358024691357,5.5,1.2333404564187773,84,67.65217391304348,86,61,17,0.7391304347826086,2022-09,2024-07,7689,OSS
MCreator/MCreator,59,0.00423728813559322,0.0,0.25,0.03254722774520597,1,4.779661016949152,5,4,1,0.01694915254237288,2020-10,2025-08,6364,OSS
sylvainhalle/textidote,43,0.023255813953488372,0.0,1.0,0.15249857033260467,1,1.1395348837209303,2,2,1,0.023255813953488372,2018-07,2025-05,306,OSS
togglz/togglz,129,0.018992248062015504,0.0,1.0,0.10624477491332186,6,3.5348837209302326,7,4,6,0.046511627906976744,2012-01,2025-03,1517,OSS
apache/mina-sshd,176,0.004734848484848484,0.0,0.5,0.045176821113765475,2,2.8125,4,3,2,0.011363636363636364,2009-01,2025-07,3060,OSS
antlr/stringtemplate4,73,0.02054794520547945,0.0,1.0,0.1301269722975613,2,1.9452054794520548,3,3,2,0.0273972602739726,2009-11,2025-05,1007,OSS
jankotek/mapdb,88,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2012-09,2023-03,2186,OSS
killbill/killbill,163,0.009772129710780017,0.0,0.5,0.05534579542527038,6,6.625766871165644,8,4,6,0.03680981595092025,2011-11,2025-07,10183,OSS
JodaOrg/joda-time,202,0.0,0.0,0.0,0.0,0,2.0,2,2,0,0.0,2004-01,2025-06,2302,OSS
react-native-linear-gradient/react-native-linear-gradient,81,0.05249374795261206,0.0,1.0,0.14161109468872526,36,20.753086419753085,37,20,27,0.3333333333333333,2015-04,2025-03,540,OSS
neo4j/neo4j,211,0.020663867961998445,0.0,1.0,0.08792669904365885,42,22.123222748815166,43,42,41,0.1943127962085308,2007-06,2024-12,81412,OSS
quarkusio/quarkus,86,0.03560657942275761,0.0,0.5,0.08360408494021598,30,23.406976744186046,32,24,28,0.32558139534883723,2018-07,2025-08,53806,OSS
apache/pulsar,107,0.03480999929258122,0.011764705882352941,0.6666666666666666,0.07593013568398595,90,49.21495327102804,93,74,61,0.5700934579439252,2016-10,2025-08,13599,OSS
elastic/logstash,188,0.016280104774473524,0.0,0.5,0.05516509047148282,31,18.49468085106383,33,27,30,0.1595744680851064,2009-09,2025-08,11135,OSS
hdodenhof/CircleImageView,31,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2014-02,2023-01,160,OSS
ReactiveX/RxJava,149,0.021822565950082726,0.0,1.0,0.10084234436392805,14,11.577181208053691,15,13,14,0.09395973154362416,2012-08,2025-07,6240,OSS
skylot/jadx,137,0.01338199513381995,0.0,1.0,0.09913513702212452,3,2.4671532846715327,4,4,3,0.021897810218978103,2013-04,2025-07,2498,OSS
dbeaver/dbeaver,154,0.018369923727066584,0.0,1.0,0.09861126558409575,9,4.64935064935065,10,7,9,0.05844155844155844,2012-11,2025-08,27388,OSS
termux/termux-app,103,0.02022653721682848,0.0,1.0,0.11637803899317056,4,2.854368932038835,5,3,4,0.038834951456310676,2015-11,2025-06,1483,OSS
jeecgboot/JeecgBoot,76,0.019736842105263157,0.0,1.0,0.12756147468793785,2,1.9473684210526316,3,3,2,0.02631578947368421,2019-03,2025-08,1744,OSS
Snailclimb/JavaGuide,86,0.04724749144403923,0.0,1.0,0.12982335419931457,32,11.848837209302326,33,31,29,0.3372093023255814,2018-06,2025-07,5854,OSS
doocs/advanced-java,73,0.02054794520547945,0.0,1.0,0.1301269722975613,2,2.7945205479452055,3,3,2,0.0273972602739726,2018-11,2025-07,776,OSS
spring-projects/spring-boot,148,0.015427927927927926,0.0,1.0,0.09857432739039841,5,3.824324324324324,6,5,5,0.033783783783783786,2013-05,2025-08,56271,OSS
MisterBooo/LeetCodeAnimation,19,0.17637844611528822,0.0,2.0,0.478340098996844,8,4.894736842105263,9,8,5,0.2631578947368421,2019-01,2022-01,246,OSS
elastic/elasticsearch,186,0.026324545897404593,0.0,1.0,0.09069095216327375,74,31.887096774193548,75,73,70,0.3763440860215054,2010-03,2025-08,88369,OSS
planetscale/vtprotobuf,27,0.10477660199882421,0.0,1.0,0.21868119140685852,9,5.37037037037037,10,9,9,0.3333333333333333,2021-06,2025-03,216,OSS
projectdiscovery/tlsx,36,0.0287037037037037,0.0,0.6666666666666666,0.1174200917822185,4,6.527777777777778,7,3,3,0.08333333333333333,2022-07,2025-07,1007,OSS
trpc-group/trpc-go,12,0.020833333333333332,0.0,0.25,0.07216878364870322,1,4.916666666666667,5,4,1,0.08333333333333333,2023-09,2025-07,163,OSS
tinkerbell/tink,65,0.04839438339438339,0.0,1.0,0.18472638371079156,10,8.307692307692308,11,8,8,0.12307692307692308,2019-11,2025-07,1952,OSS
juruen/rmapi,54,0.027777777777777776,0.0,1.0,0.15099252345187417,2,2.3518518518518516,3,2,2,0.037037037037037035,2018-02,2023-12,464,OSS
trustwallet/assets,71,0.0996060644757724,0.02117362371445856,2.8461538461538463,0.35221410780467555,2117,1276.2957746478874,2130,1136,71,1.0,2019-09,2025-07,15152,OSS
travisjeffery/jocko,25,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2016-11,2020-12,532,OSS
