,OSS-Early Spike,OSS-Late Spike,OSS-Low/Gradual Activity,OSS4SG-Early Spike,OSS4SG-Late Spike,OSS4SG-Low/Gradual Activity
OSS-Early Spike,1.0,5.517035118809515e-52,2.728480901706096e-50,0.0005586573945083699,1.0320833823663396e-63,1.1249822534387632e-67
OSS-Late Spike,5.517035118809515e-52,1.0,0.05276819838909614,1.3448304107818199e-33,0.7010821278455546,0.8231677728428991
OSS-Low/Gradual Activity,2.728480901706096e-50,0.05276819838909614,1.0,1.3754919092256317e-29,0.01361968634142349,0.055828992437610726
OSS4SG-Early Spike,0.0005586573945083699,1.3448304107818199e-33,1.3754919092256317e-29,1.0,6.737830854187005e-41,6.560861304285396e-42
OSS4SG-Late Spike,1.0320833823663396e-63,0.7010821278455546,0.01361968634142349,6.737830854187005e-41,1.0,0.5089803785528092
OSS4SG-Low/Gradual Activity,1.1249822534387632e-67,0.8231677728428991,0.055828992437610726,6.560861304285396e-42,0.5089803785528092,1.0
