project_name,meets_criteria,contributors_count,commits_count,closed_prs_count,age_years,days_since_update,contributors_check,commits_check,prs_check,age_check,recent_update,error
openml/OpenML,True,25,1280366,205,12.64,1,True,True,True,True,True,
OperationCode/front-end,True,150,116070,1503,7.16,-1,True,True,True,True,True,
JustFixNYC/who-owns-what,True,17,143616,852,8.07,8,True,True,True,True,True,
enketo/enketo-core,True,28,30558,255,11.88,159,True,True,True,True,True,
dimagi/commcare-cloud,True,90,186254,6508,11.03,0,True,True,True,True,True,
opendatacube/datacube-core,True,90,106282,1307,10.22,1,True,True,True,True,True,
Bahmni/bahmni-core,True,120,19016,264,12.37,10,True,True,True,True,True,
wevote/WeVoteServer,True,90,254596,2626,10.02,2,True,True,True,True,True,
SEED-platform/seed,True,60,360308,2323,10.78,0,True,True,True,True,True,
radiantearth/stac-spec,True,60,16510,757,8.22,8,True,True,True,True,True,
LoopKit/LoopKit,True,60,37004,473,9.51,8,True,True,True,True,True,
NREL/EnergyPlus,True,90,2238616,3517,11.69,0,True,True,True,True,True,
nvaccess/nvda,True,180,1319392,4470,9.72,0,True,True,True,True,True,
dimagi/commcare-android,True,60,696464,3221,11.12,-1,True,True,True,True,True,
avniproject/avni-server,True,60,41458,82,9.0,0,True,True,True,True,True,
mysociety/alaveteli,True,90,300306,4472,14.66,-1,True,True,True,True,True,
chaynHQ/soulmedicine,True,16,182612,395,6.8,9,True,True,True,True,True,
dimagi/commcare-hq,True,150,1722822,36426,16.06,0,True,True,True,True,True,
resource-watch/resource-watch,True,60,207480,2076,8.2,36,True,True,True,True,True,
opencrvs/opencrvs-core,True,90,1933208,5656,8.2,-1,True,True,True,True,True,
JustFixNYC/tenants2,True,14,35112,1852,7.0,-1,True,True,True,True,True,
openfisca/openfisca-france,True,120,107024,1775,11.58,-1,True,True,True,True,True,
opensrp/opensrp-client-core,True,60,44652,610,8.03,45,True,True,True,True,True,
getodk/collect,True,180,193262,3616,9.99,3,True,True,True,True,True,
openstreetmap/openstreetmap-website,True,240,972162,3578,15.25,0,True,True,True,True,True,
moodle/moodle,True,240,1753204,497,15.62,-1,True,True,True,True,True,
OneBusAway/onebusaway-android,True,60,32294,587,14.14,1,True,True,True,True,True,
unicef/etools,True,60,226480,3826,9.35,-1,True,True,True,True,True,
dhis2/dhis2-core,True,90,712792,21465,8.91,-1,True,True,True,True,True,
CenterForOpenScience/SHARE,True,60,85658,570,11.09,15,True,True,True,True,True,
learningequality/kolibri,True,210,287870,8193,9.53,-1,True,True,True,True,True,
scratchfoundation/scratch-vm,True,90,1679240,3965,9.31,3,True,True,True,True,True,
azavea/raster-vision,True,60,189504,1441,8.49,0,True,True,True,True,True,
mysociety/fixmystreet,True,60,414446,3982,15.51,0,True,True,True,True,True,
openMF/web-app,True,120,857860,1668,7.19,0,True,True,True,True,True,
