,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
LogisticRegression,0.6887499102050172,0.009199531296407963,0.6220200920908333,0.010891185068454266
RandomForest,0.7462430057249063,0.007582251895826522,0.6568093872825452,0.008464249577953224
GradientBoosting,0.7464062133637795,0.009087386803719686,0.6559714570578077,0.009424179972413599
