,n_samples,n_core,pct_core,roc_auc,roc_auc_std,pr_auc,pr_auc_std,f1,f1_std
OSS,11.0,0.0,0.0,,,,,,
OSS4SG,50.0,2.0,4.0,,,0.4,0.48989794855663565,0.0,0.0
