feature,correlation,p_value,mutual_info,effect_size,abs_correlation,mean_core,mean_non_core
sustained_growth,0.9999999999999999,0.0,0.1531651501514225,-1.0,0.9999999999999999,1.0,0.0
month3_commits,0.4445046776520697,0.00033211018799791985,0.13677170752847168,-1.0,0.4445046776520697,62.0,0.9830508474576272
month2_commits,0.3572420515693215,0.004708295926107902,0.03573558054019188,-0.9661016949152543,0.3572420515693215,23.0,1.3559322033898304
trend_slope,0.3542368836570176,0.00509621874061289,0.1531651501514225,-1.0,0.3542368836570176,1.4615384615384617,-0.08241758241758243
total_commits_90d,0.3111343147864695,0.014659762990392422,0.1531651501514225,-1.0,0.3111343147864695,90.5,9.559322033898304
peak_week_commits,0.3109044285092121,0.014736995241203624,0.0545880395565852,-1.0,0.3109044285092121,35.0,5.711864406779661
acceleration_rate,0.31066671960978165,0.014817222698373364,0.12857498621699626,-1.0,0.31066671960978165,8.904761904761905,-0.6964343210007532
relative_productivity,0.30942866048949086,0.015241160245998,0.1531651501514225,-1.0,0.30942866048949086,8.61904761904762,0.9885391444713479
final_contribution_pct,0.3084985511145417,0.015566454741720961,0.1531651501514225,-1.0,0.3084985511145417,3.7291,0.5327983050847457
max_contribution_pct,0.3084944722533079,0.015567894278523186,0.12037826490552084,-1.0,0.3084944722533079,3.73375,0.599715254237288
early_vs_late_ratio,-0.3010127571859374,0.018408024940616094,0.06846569659950985,0.9661016949152542,0.3010127571859374,0.18434134217067108,6.564906725745263
avg_commits_when_active,0.29421989623981193,0.02135818579461262,0.0739301774738268,-0.9491525423728813,0.29421989623981193,14.023809523809524,4.272316384180791
activity_rate,0.29177817920641874,0.02251235149053118,0.05070613375797983,-0.9067796610169492,0.29177817920641874,0.5,0.19947848761408082
active_weeks_count,0.29177817920641874,0.02251235149053118,0.0630012157251929,-0.9067796610169492,0.29177817920641874,6.5,2.593220338983051
longest_inactive_streak,-0.24703100685804585,0.05494372443562721,0.017965195279336488,0.771186440677966,0.24703100685804585,4.5,9.491525423728813
trend_r2,0.24616461406674103,0.055828249497372376,0.0030288907336948334,-0.6949152542372881,0.24616461406674103,0.39641941427118,0.08824861679403881
total_lines_changed_90d,0.2144086998935694,0.09705519526498235,0.0,-0.6949152542372881,0.2144086998935694,299844.5,106238.08474576271
weeks_to_first_commit,0.13598447831502689,0.29603947214296933,0.0,-0.44067796610169485,0.13598447831502689,200.0,149.67796610169492
burst_ratio,0.13103542754735692,0.31412919457666033,0.0,-0.423728813559322,0.13103542754735692,4.37156862745098,3.1350614253095612
avg_lines_per_commit,0.11503640008631974,0.37733812071531125,0.002922109816526408,-0.3728813559322033,0.11503640008631974,3364.4413165608207,14995.709361351373
activity_regularity,0.06503617560555082,0.6185064969576166,0.0,-0.20338983050847448,0.06503617560555082,0.5512145627092527,0.3579112830200385
month1_commits,0.007918932284605131,0.9517014732185936,0.030477614554050847,-0.025423728813559254,0.007918932284605131,5.5,7.220338983050848
