feature,correlation,p_value,mutual_info,effect_size,abs_correlation,mean_core,mean_non_core
active_weeks_count,,,2.220446049250313e-16,0,,0,1.3636363636363635
activity_rate,,,2.220446049250313e-16,0,,0,0.10489510489510488
longest_inactive_streak,,,2.220446049250313e-16,0,,0,11.363636363636363
activity_regularity,,,2.220446049250313e-16,0,,0,0.1635179810817441
month1_commits,,,2.220446049250313e-16,0,,0,3.8181818181818183
month2_commits,,,2.220446049250313e-16,0,,0,0.0
month3_commits,,,2.220446049250313e-16,0,,0,0.18181818181818182
acceleration_rate,,,2.220446049250313e-16,0,,0,-0.7551948051948052
sustained_growth,,,2.220446049250313e-16,0,,0,0.0
trend_slope,,,2.220446049250313e-16,0,,0,-0.00949050949050949
trend_r2,,,2.220446049250313e-16,0,,0,0.010464981447124301
total_commits_90d,,,2.220446049250313e-16,0,,0,4.0
peak_week_commits,,,2.220446049250313e-16,0,,0,3.5454545454545454
total_lines_changed_90d,,,2.220446049250313e-16,0,,0,12.727272727272727
avg_commits_when_active,,,2.220446049250313e-16,0,,0,3.166666666666667
avg_lines_per_commit,,,2.220446049250313e-16,0,,0,3.0508658008658007
burst_ratio,,,2.220446049250313e-16,0,,0,2.6937587953841824
weeks_to_first_commit,,,2.220446049250313e-16,0,,0,55.0
relative_productivity,,,2.220446049250313e-16,0,,0,0.7999999999999999
final_contribution_pct,,,2.220446049250313e-16,0,,0,0.6642818181818181
max_contribution_pct,,,2.220446049250313e-16,0,,0,0.9474545454545455
early_vs_late_ratio,,,2.220446049250313e-16,0,,0,3.5151515151515156
