name,description,topics,language,startDate,lastContribution,lifespan,numStars,numSubscribers,numForks,numContributors,numAuthenticatedContributors,numAnonymousContributors,numNotAuthenticatedContributors,numOneTimeContributors,numAuthenticatedOneTimeContributors,numCoreContributors,contributors,authenticatedContributors,coreContributors,numCommits,numOpenIssues,numClosedIssues,numOpenPullRequests,numClosedPullRequests,numMergedPullRequests,SDG
openfarmcc/OpenFarm,A free and open database for farming and gardening knowledge. You can grow anything!,"'farming', 'gardening', 'open-source', 'plants', 'rails'",Ruby,2013-10-27T04:46:37Z,2024-07-14T09:41:37Z,3913,1568,64,242,63,52,11,11,20,14,3,"('simonv3', 1116), ('RickCarlino', 701), ('dependabotbot', 205), ('warpling', 170), ('dependabot-previewbot', 161), ('CloCkWeRX', 120), ('TanSA05', 94), ('roryaronson', 88), ('Br3nda', 64), ('TheChirpyWitch', 25), ('broder', 14), ('gabrielburnworth', 12), ('RaceFPV', 11), ('kelcecil', 10), ('md5', 10), ('speizerj', 9), ('digital-dreamer', 9), ('guitsaru', 8), ('nickedwards109', 7), ('Anonymous', 7), ('Cynaria', 6), ('Anonymous', 6), ('Anonymous', 6), ('roselynemakena', 6), ('code-factor', 5), ('pnob32', 5), ('mo22de', 5), ('cpursley', 4), ('Katy310', 4), ('rickr', 4), ('robbrit', 4), ('sigu', 3), ('Vincentdc94', 3), ('sophiakc', 3), ('ignaciots', 3), ('dedesite', 2), ('dnephin', 2), ('davidomullan', 2), ('jakewins', 2), ('Anonymous', 2), ('jeffcore', 2), ('Anonymous', 2), ('rjmccluskey', 2), ('mftaff', 1), ('Anonymous', 1), ('mstenta', 1), ('piamancini', 1), ('Anonymous', 1), ('Anonymous', 1), ('Anonymous', 1), ('anyangocynthia', 1), ('Anonymous', 1), ('jmks', 1), ('maticbasle', 1), ('joshlemer', 1), ('ImgBotApp', 1), ('gargi-gupta', 1), ('Rinbadagin', 1), ('DavidMGross', 1), ('bitdeli-chef', 1), ('Anonymous', 1), ('jumbosushi', 1), ('erisfully', 1)","('simonv3', 1116), ('RickCarlino', 701), ('dependabotbot', 205), ('warpling', 170), ('dependabot-previewbot', 161), ('CloCkWeRX', 120), ('TanSA05', 94), ('roryaronson', 88), ('Br3nda', 64), ('TheChirpyWitch', 25), ('broder', 14), ('gabrielburnworth', 12), ('RaceFPV', 11), ('kelcecil', 10), ('md5', 10), ('speizerj', 9), ('digital-dreamer', 9), ('guitsaru', 8), ('nickedwards109', 7), ('Cynaria', 6), ('roselynemakena', 6), ('code-factor', 5), ('pnob32', 5), ('mo22de', 5), ('cpursley', 4), ('Katy310', 4), ('rickr', 4), ('robbrit', 4), ('sigu', 3), ('Vincentdc94', 3), ('sophiakc', 3), ('ignaciots', 3), ('dedesite', 2), ('dnephin', 2), ('davidomullan', 2), ('jakewins', 2), ('jeffcore', 2), ('rjmccluskey', 2), ('mftaff', 1), ('mstenta', 1), ('piamancini', 1), ('anyangocynthia', 1), ('jmks', 1), ('maticbasle', 1), ('joshlemer', 1), ('ImgBotApp', 1), ('gargi-gupta', 1), ('Rinbadagin', 1), ('DavidMGross', 1), ('bitdeli-chef', 1), ('jumbosushi', 1), ('erisfully', 1)","('simonv3', 1116), ('RickCarlino', 701), ('warpling', 170)",2944,133,1419,11,984,11,"[9, 'Industry, Innovation and Infrastructure']"
openfoodfacts/openfoodfacts-androidapp,(Legacy) Native version of Open Food Facts on Android - Coders & Decoders welcome 🤳🥫 ,"'android', 'crowdsourcing', 'environment', 'food', 'gsoc', 'hacktoberfest', 'java', 'kotlin', 'kotlin-android', 'nutrition', 'openfoodfacts'",Kotlin,2015-05-06T18:09:55Z,2024-10-21T09:34:09Z,3455,771,36,447,147,128,19,19,56,47,2,"('teolemon', 5640), ('VaiTon', 931), ('dependabotbot', 392), ('itchix', 206), ('herau', 153), ('deniger', 140), ('huzaifaiftikhar', 85), ('PrajwalM2212', 62), ('naivekook', 55), ('Anonymous', 51), ('dobriseb', 46), ('philippeauriach', 45), ('kartikaysharma01', 44), ('g123k', 40), ('ripetrescu', 40), ('subhanjansaha', 35), ('jaindiv26', 34), ('mustaqmustu', 33), ('Karljoones', 32), ('Shubham-vish', 28), ('github-actionsbot', 26), ('ross-holloway94', 26), ('mrudultora', 24), ('jaztriumph', 24), ('Anonymous', 23), ('dependabot-previewbot', 23), ('balaji-ramavathu', 22), ('brandenfung', 22), ('raphael0202', 19), ('Anonymous', 16), ('RajaVamsi11', 13), ('iml-v', 12), ('samagra14', 12), ('prashantkh19', 12), ('shivanshsoni', 11), ('arshilk', 10), ('Anonymous', 10), ('hangy', 10), ('ManognaMutyala', 10), ('pareichlin', 10), ('ManavPoddar', 9), ('KarthikRIyer', 8), ('Anonymous', 8), ('pratyaksh1610', 7), ('vanshikaarora', 7), ('Anonymous', 7), ('jinqian', 7), ('R4md4c', 7), ('ChasakisD', 6), ('harshlele', 6), ('Marinolino', 6), ('NasiaKouts', 6), ('SaumiaSinghal', 6), ('Varsha-29', 6), ('blmage', 6), ('sachincool', 5), ('Anonymous', 5), ('naofum', 5), ('sarah541', 5), ('crowdin-bot', 5), ('Farbklex', 5), ('Abhisek2090', 4), ('Rutvikmodi', 4), ('Shritesh99', 4), ('mcarare', 4), ('sowmya9029', 3), ('LuGO0', 3), ('Anonymous', 3), ('danzzen', 3), ('HummingBrid', 3), ('FlorentRousselle', 3), ('amanjeetsingh150', 3), ('PO15ON', 3), ('devansh-299', 2), ('Anonymous', 2), ('krystelnguyen', 2), ('vaishali51', 2), ('Anonymous', 2), ('mohsin', 2), ('paulocoe', 2), ('nishkarsh800', 2), ('MohamedHefny', 2), ('dmdbilal', 2), ('etcadinfinitum', 2), ('cliffgr', 2), ('gspitz01', 2), ('Gbossard', 2), ('elouataoui', 2), ('diskostu', 2), ('kant', 2), ('chris-hatton', 2), ('Anonymous', 1), ('fogleins', 1), ('Anonymous', 1), ('EasyVector', 1), ('Steinhagen', 1), ('varunvjha', 1), ('utkarsh006', 1), ('Anonymous', 1), ('scastrec', 1), ('shiv07tiwari', 1), ('AbsolutelySaurabh', 1), ('SatyamBansal', 1), ('santansarah', 1), ('Anonymous', 1), ('Anonymous', 1), ('loominade', 1), ('machiav3lli', 1), ('memms', 1), ('oricdev', 1), ('Anonymous', 1), ('pranav0281999', 1), ('doomers', 1), ('raychenon', 1), ('salfai', 1), ('sashabrava', 1), ('schokotets', 1), ('shushilkumarr', 1), ('tjwhm', 1), ('aeramli', 1), ('adamfils', 1), ('anguye13', 1), ('AntonisFaros', 1), ('Bartoshr', 1), ('JohnAZoidberg', 1), ('Anonymous', 1), ('friedger', 1), ('geocohn', 1), ('galemu2', 1), ('gregbnr', 1), ('Jantzilla', 1), ('khaledosama007', 1), ('licaon-kter', 1), ('hairy-tortoise', 1), ('mehroshmmm', 1), ('mostafa07', 1), ('yukiisbored', 1), ('Anonymous', 1), ('Cypresslin', 1), ('Anonymous', 1), ('WildOrangutan', 1), ('Poussinou', 1), ('codetriage-readme-bot', 1), ('rohap97', 1), ('rahul-jha98', 1), ('RelappsStudio', 1), ('roychowdhuryrohit-dev', 1)","('teolemon', 5640), ('VaiTon', 931), ('dependabotbot', 392), ('itchix', 206), ('herau', 153), ('deniger', 140), ('huzaifaiftikhar', 85), ('PrajwalM2212', 62), ('naivekook', 55), ('dobriseb', 46), ('philippeauriach', 45), ('kartikaysharma01', 44), ('g123k', 40), ('ripetrescu', 40), ('subhanjansaha', 35), ('jaindiv26', 34), ('mustaqmustu', 33), ('Karljoones', 32), ('Shubham-vish', 28), ('github-actionsbot', 26), ('ross-holloway94', 26), ('mrudultora', 24), ('jaztriumph', 24), ('dependabot-previewbot', 23), ('balaji-ramavathu', 22), ('brandenfung', 22), ('raphael0202', 19), ('RajaVamsi11', 13), ('iml-v', 12), ('samagra14', 12), ('prashantkh19', 12), ('shivanshsoni', 11), ('arshilk', 10), ('hangy', 10), ('ManognaMutyala', 10), ('pareichlin', 10), ('ManavPoddar', 9), ('KarthikRIyer', 8), ('pratyaksh1610', 7), ('vanshikaarora', 7), ('jinqian', 7), ('R4md4c', 7), ('ChasakisD', 6), ('harshlele', 6), ('Marinolino', 6), ('NasiaKouts', 6), ('SaumiaSinghal', 6), ('Varsha-29', 6), ('blmage', 6), ('sachincool', 5), ('naofum', 5), ('sarah541', 5), ('crowdin-bot', 5), ('Farbklex', 5), ('Abhisek2090', 4), ('Rutvikmodi', 4), ('Shritesh99', 4), ('mcarare', 4), ('sowmya9029', 3), ('LuGO0', 3), ('danzzen', 3), ('HummingBrid', 3), ('FlorentRousselle', 3), ('amanjeetsingh150', 3), ('PO15ON', 3), ('devansh-299', 2), ('krystelnguyen', 2), ('vaishali51', 2), ('mohsin', 2), ('paulocoe', 2), ('nishkarsh800', 2), ('MohamedHefny', 2), ('dmdbilal', 2), ('etcadinfinitum', 2), ('cliffgr', 2), ('gspitz01', 2), ('Gbossard', 2), ('elouataoui', 2), ('diskostu', 2), ('kant', 2), ('chris-hatton', 2), ('fogleins', 1), ('EasyVector', 1), ('Steinhagen', 1), ('varunvjha', 1), ('utkarsh006', 1), ('scastrec', 1), ('shiv07tiwari', 1), ('AbsolutelySaurabh', 1), ('SatyamBansal', 1), ('santansarah', 1), ('loominade', 1), ('machiav3lli', 1), ('memms', 1), ('oricdev', 1), ('pranav0281999', 1), ('doomers', 1), ('raychenon', 1), ('salfai', 1), ('sashabrava', 1), ('schokotets', 1), ('shushilkumarr', 1), ('tjwhm', 1), ('aeramli', 1), ('adamfils', 1), ('anguye13', 1), ('AntonisFaros', 1), ('Bartoshr', 1), ('JohnAZoidberg', 1), ('friedger', 1), ('geocohn', 1), ('galemu2', 1), ('gregbnr', 1), ('Jantzilla', 1), ('khaledosama007', 1), ('licaon-kter', 1), ('hairy-tortoise', 1), ('mehroshmmm', 1), ('mostafa07', 1), ('yukiisbored', 1), ('Cypresslin', 1), ('WildOrangutan', 1), ('Poussinou', 1), ('codetriage-readme-bot', 1), ('rohap97', 1), ('rahul-jha98', 1), ('RelappsStudio', 1), ('roychowdhuryrohit-dev', 1)","('teolemon', 5640), ('VaiTon', 931)",8691,391,4856,47,2785,47,"[12, 'Responsible Consumption and Production']"
