project_name,project_type,total_contributors,core_contributors,core_ratio,core_percentage_actual,one_time_contributors,one_time_ratio,gini_coefficient,bus_factor,active_contributors,active_ratio,casual_contributors,regular_contributors,heavy_contributors,total_commits,core_commits,commits_per_contributor
mitchellkrogza/apache-ultimate-bad-bot-blocker,OSS,19,3,0.15789473684210525,0.8558612440191388,7,0.3684210526315789,0.8150969529085874,2,2,0.10526315789473684,5,3,4,3344,2862,176.0
greenrobot/EventBus,OSS,31,3,0.0967741935483871,0.8218181818181818,17,0.5483870967741935,0.8450439882697947,1,1,0.03225806451612903,9,4,1,550,452,17.741935483870968
boto/boto3,OSS,169,3,0.01775147928994083,0.8155130234566125,106,0.6272189349112426,0.9503968473604392,1,8,0.047337278106508875,41,15,7,6949,5667,41.11834319526627
presidentbeef/brakeman,OSS,177,2,0.011299435028248588,0.8857072931962799,104,0.5875706214689266,0.9357403397573636,1,4,0.022598870056497175,65,6,2,4086,3619,23.084745762711865
square/okhttp,OSS,331,5,0.015105740181268883,0.8113333333333334,241,0.7280966767371602,0.9237754279959718,2,11,0.03323262839879154,69,15,6,6000,4868,18.12688821752266
hibernate/hibernate-orm,OSS,804,16,0.01990049751243781,0.800670775924583,491,0.6106965174129353,0.9338748606496163,5,45,0.055970149253731345,234,54,25,22064,17666,27.442786069651742
gunthercox/ChatterBot,OSS,108,1,0.009259259259259259,0.8062593144560357,62,0.5740740740740741,0.9169242516237051,1,1,0.009259259259259259,36,9,1,2013,1623,18.63888888888889
Baekalfen/PyBoy,OSS,37,1,0.02702702702702703,0.8331550802139037,19,0.5135135135135135,0.9075299898829312,1,4,0.10810810810810811,14,3,1,935,779,25.27027027027027
lets-blade/blade,OSS,44,4,0.09090909090909091,0.82281284606866,19,0.4318181818181818,0.8597352260142959,1,4,0.09090909090909091,16,8,1,903,743,20.522727272727273
bioconda/bioconda-recipes,OSS,2525,174,0.06891089108910892,0.8003960055096419,771,0.30534653465346534,0.8735235796306904,10,295,0.11683168316831684,1263,437,54,58086,46487,23.004356435643565
voxpupuli/beaker,OSS,277,31,0.11191335740072202,0.8008234688625836,96,0.34657039711191334,0.8330425551812703,8,7,0.02527075812274368,121,46,14,5829,4668,21.04332129963899
OpenMathLib/OpenBLAS,OSS,413,12,0.029055690072639227,0.8003790271636134,170,0.4116222760290557,0.9050336581627736,1,29,0.07021791767554479,194,40,9,9502,7602,23.00726392251816
jenkinsci/bitbucket-branch-source-plugin,OSS,140,18,0.12857142857142856,0.8023255813953488,75,0.5357142857142857,0.7915026833631484,4,5,0.03571428571428571,52,10,3,1118,897,7.985714285714286
opensourceBIM/BIMserver,OSS,39,1,0.02564102564102564,0.9093774625689519,15,0.38461538461538464,0.950384918470025,1,2,0.05128205128205128,15,7,2,5076,4616,130.15384615384616
coolsnowwolf/lede,OSS,605,23,0.03801652892561983,0.8005573248407644,343,0.5669421487603306,0.8778508887368182,3,27,0.04462809917355372,216,38,8,7536,6033,12.456198347107438
elastic/beats,OSS,873,43,0.049255441008018326,0.8018808448040349,498,0.570446735395189,0.8992732724860475,11,66,0.07560137457044673,250,92,33,19034,15263,21.802978235967927
mozilla/bedrock,OSS,407,15,0.036855036855036855,0.8069276741065984,208,0.5110565110565111,0.9262860305670404,4,17,0.04176904176904177,130,44,25,16398,13232,40.28992628992629
BytomDAO/bytom,OSS,56,14,0.25,0.8046532045654082,9,0.16071428571428573,0.718942054433714,5,1,0.017857142857142856,18,24,5,2278,1833,40.67857142857143
bokeh/bokeh,OSS,718,15,0.020891364902506964,0.8082376123420003,419,0.5835654596100278,0.9377591214013177,3,12,0.016713091922005572,230,46,23,20807,16817,28.979108635097493
blynkkk/blynk-library,OSS,35,1,0.02857142857142857,0.8756073858114675,24,0.6857142857142857,0.9398028599194781,1,1,0.02857142857142857,6,4,1,2058,1802,58.8
hhxsv5/laravel-s,OSS,47,2,0.0425531914893617,0.8312985571587126,23,0.48936170212765956,0.9239379412945428,1,2,0.0425531914893617,20,1,3,1802,1498,38.340425531914896
malwaredllc/byob,OSS,36,6,0.16666666666666666,0.8052287581699347,10,0.2777777777777778,0.7768700072621642,2,1,0.027777777777777776,17,8,1,765,616,21.25
ReFirmLabs/binwalk,OSS,110,2,0.01818181818181818,0.8075385494003426,63,0.5727272727272728,0.9032085561497327,1,5,0.045454545454545456,39,6,2,1752,1414,15.927272727272728
BLCM/BLCMods,OSS,221,37,0.167420814479638,0.8046628407460545,35,0.1583710407239819,0.7931276251809631,12,9,0.04072398190045249,78,74,34,13940,11217,63.07692307692308
bootstrap-vue/bootstrap-vue,OSS,369,6,0.016260162601626018,0.8117625368731564,269,0.7289972899728997,0.9118701585245943,2,9,0.024390243902439025,79,15,6,5424,4403,14.699186991869919
boostorg/boost,OSS,213,27,0.1267605633802817,0.8026679555340744,33,0.15492957746478872,0.8356400883146469,9,3,0.014084507042253521,57,58,65,51725,41518,242.84037558685446
google/blockly,OSS,277,12,0.04332129963898917,0.8105688393929469,151,0.5451263537906137,0.9172702236422481,5,12,0.04332129963898917,88,23,15,9159,7424,33.064981949458485
jarun/buku,OSS,90,4,0.044444444444444446,0.8124432334241598,45,0.5,0.9074881420930467,1,6,0.06666666666666667,33,9,3,2202,1789,24.466666666666665
bkaradzic/bgfx,OSS,321,3,0.009345794392523364,0.8260918253079508,173,0.5389408099688473,0.9372767771486781,2,10,0.03115264797507788,121,23,4,8930,7377,27.819314641744548
davidstutz/bootstrap-multiselect,OSS,118,13,0.11016949152542373,0.8007566204287516,71,0.6016949152542372,0.7989291897321906,2,2,0.01694915254237288,40,6,1,793,635,6.720338983050848
philc/vimium,OSS,194,4,0.020618556701030927,0.8151865177049801,109,0.5618556701030928,0.9320116660192053,2,6,0.030927835051546393,67,13,5,5281,4305,27.221649484536083
jashkenas/underscore,OSS,334,17,0.05089820359281437,0.8016123378899405,200,0.5988023952095808,0.8397348310739194,4,4,0.011976047904191617,115,12,7,2853,2287,8.54191616766467
buildroot/buildroot,OSS,1519,46,0.030283080974325215,0.8004553419541333,578,0.380513495720869,0.9291802574195513,7,95,0.06254114549045425,604,256,81,78183,62582,51.47004608294931
WorldBrain/Memex,OSS,73,4,0.0547945205479452,0.8137035378414689,19,0.2602739726027397,0.9132481437630233,2,3,0.0410958904109589,27,15,12,13398,10902,183.53424657534248
scratchfoundation/scratch-blocks,OSS,151,15,0.09933774834437085,0.8005185545292497,0,0.0,0.8599570089105095,5,3,0.019867549668874173,98,30,23,12342,9880,81.73509933774834
Bukkit/Bukkit,OSS,131,16,0.12213740458015267,0.8111332007952287,63,0.48091603053435117,0.8126103430308733,5,5,0.03816793893129771,48,16,4,1509,1224,11.51908396946565
google/blockly-games,OSS,22,3,0.13636363636363635,0.805863708399366,12,0.5454545454545454,0.8127791384526726,2,2,0.09090909090909091,3,4,3,1262,1017,57.36363636363637
wiredtiger/wiredtiger,OSS,115,7,0.06086956521739131,0.8142400189551001,27,0.23478260869565218,0.9036555528656713,2,29,0.25217391304347825,24,42,22,25323,20619,220.2
uxsolutions/bootstrap-datepicker,OSS,400,95,0.2375,0.8005952380952381,275,0.6875,0.7250803571428572,2,2,0.005,119,4,2,1680,1345,4.2
NSFI/ppfish-components,OSS,44,5,0.11363636363636363,0.8434090238867591,8,0.18181818181818182,0.8592732098335165,2,6,0.13636363636363635,20,10,6,3391,2860,77.06818181818181
sammchardy/python-binance,OSS,194,9,0.04639175257731959,0.8009608785175018,133,0.6855670103092784,0.8385646258022061,1,3,0.015463917525773196,53,7,1,1457,1167,7.510309278350515
bitcoinbook/bitcoinbook,OSS,224,11,0.049107142857142856,0.8203454894433782,126,0.5625,0.8944269262407458,5,2,0.008928571428571428,65,22,11,5210,4274,23.258928571428573
EbookFoundation/free-programming-books,OSS,3235,1330,0.41112828438948995,0.8000839542449365,2107,0.6513137557959815,0.5924395439415968,194,7,0.0021638330757341576,1058,62,8,9529,7624,2.945595054095827
thoughtbot/factory_bot,OSS,293,59,0.20136518771331058,0.8010963194988254,214,0.7303754266211604,0.7365492394985047,3,4,0.013651877133105802,69,7,3,1277,1023,4.3583617747440275
heroku/heroku-buildpack-ruby,OSS,87,3,0.034482758620689655,0.8508734554750745,59,0.6781609195402298,0.9188350009060233,2,4,0.04597701149425287,19,6,3,2347,1997,26.977011494252874
jakubgarfield/Bonobo-Git-Server,OSS,105,15,0.14285714285714285,0.8012422360248447,44,0.41904761904761906,0.7835720623653188,4,1,0.009523809523809525,47,9,5,1127,903,10.733333333333333
BlackArch/blackarch,OSS,234,4,0.017094017094017096,0.8146417445482866,104,0.4444444444444444,0.9582958689117329,1,9,0.038461538461538464,83,27,20,25038,20397,107.0
zostera/django-bootstrap3,OSS,99,2,0.020202020202020204,0.8542024013722127,64,0.6464646464646465,0.8866538454874646,1,2,0.020202020202020204,33,0,2,1166,996,11.777777777777779
RoaringBitmap/RoaringBitmap,OSS,99,4,0.04040404040404041,0.8353876739562625,44,0.4444444444444444,0.9165291081792075,1,4,0.04040404040404041,46,6,3,2515,2101,25.404040404040405
buefy/buefy,OSS,400,11,0.0275,0.8011296076099881,268,0.67,0.8547280023781214,2,7,0.0175,119,9,4,3364,2695,8.41
vlachoudis/bCNC,OSS,110,7,0.06363636363636363,0.8077093486929553,45,0.4090909090909091,0.8697587304144683,2,3,0.02727272727272727,48,11,6,2257,1823,20.51818181818182
twbs/bootstrap-sass,OSS,117,4,0.03418803418803419,0.8338136407300673,95,0.811965811965812,0.8649309917321446,1,1,0.008547008547008548,17,3,2,1041,868,8.897435897435898
aws/s2n-tls,OSS,232,28,0.1206896551724138,0.8054445079002475,86,0.3706896551724138,0.8291345831938399,9,12,0.05172413793103448,94,39,13,5253,4231,22.642241379310345
felangel/bloc,OSS,244,1,0.004098360655737705,0.8078703703703703,175,0.7172131147540983,0.889432807124064,1,11,0.045081967213114756,62,6,1,2592,2094,10.62295081967213
exercism/website-copy,OSS,1131,427,0.3775419982316534,0.8001703093954017,827,0.731211317418214,0.6428690281597778,18,7,0.00618921308576481,274,24,6,3523,2819,3.1149425287356323
marionettejs/backbone.marionette,OSS,376,21,0.05585106382978723,0.8029455081001473,230,0.6117021276595744,0.8476725785729953,3,1,0.0026595744680851063,124,17,5,3395,2726,9.029255319148936
StanzaOrg/lbstanza,OSS,23,2,0.08695652173913043,0.9133078526754691,6,0.2608695652173913,0.8853823609390579,2,3,0.13043478260869565,6,7,4,5756,5257,250.2608695652174
psf/black,OSS,478,91,0.1903765690376569,0.800497512437811,373,0.7803347280334728,0.7299485834426196,7,11,0.02301255230125523,84,17,4,2010,1609,4.205020920502092
Homebrew/brew,OSS,1235,27,0.02186234817813765,0.8050873295875256,714,0.5781376518218624,0.943722386306306,5,40,0.032388663967611336,382,94,45,45918,36968,37.180566801619435
axiomatic-systems/Bento4,OSS,57,2,0.03508771929824561,0.8359133126934984,34,0.5964912280701754,0.9093205149095649,2,2,0.03508771929824561,19,1,3,1292,1080,22.666666666666668
async-labs/builderbook,OSS,24,4,0.16666666666666666,0.8981001727115717,10,0.4166666666666667,0.7906591824985607,2,2,0.08333333333333333,8,3,3,579,520,24.125
BlueWallet/BlueWallet,OSS,131,8,0.061068702290076333,0.8269722071688472,63,0.48091603053435117,0.9232876728519788,3,13,0.09923664122137404,41,13,14,12917,10682,98.6030534351145
rappasoft/laravel-boilerplate,OSS,150,3,0.02,0.8013972055888223,61,0.4066666666666667,0.9020669771567975,1,1,0.006666666666666667,74,14,1,3006,2409,20.04
thomaspark/bootswatch,OSS,96,1,0.010416666666666666,0.8302455838000862,59,0.6145833333333334,0.9357541648714633,1,1,0.010416666666666666,31,4,2,2321,1927,24.177083333333332
s3tools/s3cmd,OSS,223,9,0.04035874439461883,0.8025839793281654,145,0.6502242152466368,0.849348211492335,2,2,0.008968609865470852,68,7,3,1935,1553,8.67713004484305
baconjs/bacon.js,OSS,118,2,0.01694915254237288,0.8334991708126036,58,0.4915254237288136,0.9263035106951121,1,2,0.01694915254237288,47,11,2,3015,2513,25.550847457627118
wenzhixin/bootstrap-table-examples,OSS,33,2,0.06060606060606061,0.8947368421052632,18,0.5454545454545454,0.9115151515151516,1,1,0.030303030303030304,11,2,2,950,850,28.78787878787879
bqplot/bqplot,OSS,76,8,0.10526315789473684,0.8257431142623398,27,0.35526315789473684,0.8600354513226072,4,3,0.039473684210526314,30,11,8,3667,3028,48.25
bazelbuild/bazel,OSS,1304,74,0.05674846625766871,0.8018498592000732,698,0.5352760736196319,0.9105655179300971,17,59,0.04524539877300614,392,128,86,43679,35024,33.49616564417178
confluentinc/confluent-kafka-python,OSS,134,14,0.1044776119402985,0.8022426095820592,86,0.6417910447761194,0.8056278241818431,3,9,0.06716417910447761,37,10,1,981,787,7.32089552238806
sc-forks/solidity-coverage,OSS,56,3,0.05357142857142857,0.8699902248289345,37,0.6607142857142857,0.9026148582600195,1,2,0.03571428571428571,14,3,2,1023,890,18.267857142857142
aws-actions/amazon-ecr-login,OSS,28,4,0.14285714285714285,0.8693045563549161,14,0.5,0.8503768413840356,1,1,0.03571428571428571,7,5,2,834,725,29.785714285714285
postmanlabs/openapi-to-postman,OSS,67,10,0.14925373134328357,0.8055555555555556,18,0.26865671641791045,0.8056740108978915,4,5,0.07462686567164178,20,22,7,2520,2030,37.61194029850746
claudehohl/Stikked,OSS,62,1,0.016129032258064516,0.811491935483871,31,0.5,0.8853407908428721,1,2,0.03225806451612903,28,2,1,992,805,16.0
dart-lang/site-www,OSS,418,11,0.02631578947368421,0.8067016184180533,302,0.722488038277512,0.8777886600580445,3,19,0.045454545454545456,95,13,8,4387,3539,10.495215311004785
sintaxi/harp,OSS,35,2,0.05714285714285714,0.8797736916548797,20,0.5714285714285714,0.8965851687209538,1,1,0.02857142857142857,12,2,1,707,622,20.2
actuallymentor/battery,OSS,36,5,0.1388888888888889,0.819672131147541,17,0.4722222222222222,0.793169398907104,1,3,0.08333333333333333,15,3,1,305,250,8.472222222222221
pablof7z/chardin.js,OSS,25,7,0.28,0.8110236220472441,14,0.56,0.6469291338582677,3,2,0.08,7,4,0,127,103,5.08
linuxmint/cinnamon,OSS,420,17,0.04047619047619048,0.8068895870736086,260,0.6190476190476191,0.9128879199794819,2,15,0.03571428571428571,105,46,9,8912,7191,21.21904761904762
ElasticHQ/elasticsearch-HQ,OSS,40,2,0.05,0.8296019900497512,28,0.7,0.9018656716417912,1,1,0.025,9,2,1,804,667,20.1
ampproject/amphtml,OSS,1238,54,0.04361873990306947,0.8004253810705424,641,0.5177705977382876,0.8904393199171456,17,7,0.005654281098546042,462,86,49,22568,18064,18.22940226171244
riot/riot,OSS,208,7,0.03365384615384615,0.8074812967581048,92,0.4423076923076923,0.8982495683867255,1,1,0.004807692307692308,92,20,4,4010,3238,19.278846153846153
apexcharts/apexcharts.js,OSS,251,2,0.00796812749003984,0.8059284116331096,162,0.6454183266932271,0.9056258188721624,1,6,0.02390438247011952,76,11,2,3576,2882,14.247011952191235
josdejong/mathjs,OSS,271,8,0.02952029520295203,0.8038674033149171,163,0.6014760147601476,0.9100962943331092,2,10,0.03690036900369004,78,22,8,5430,4365,20.03690036900369
paperjs/paper.js,OSS,96,2,0.020833333333333332,0.8793196544276458,54,0.5625,0.9621720887329013,1,1,0.010416666666666666,32,6,4,7408,6514,77.16666666666667
chinese-poetry/chinese-poetry,OSS,79,14,0.17721518987341772,0.8139904610492846,45,0.569620253164557,0.7712060534100742,3,3,0.0379746835443038,24,9,1,629,512,7.962025316455696
poteto/hiring-without-whiteboards,OSS,1150,722,0.6278260869565218,0.8,918,0.7982608695652174,0.4368118650954895,157,1,0.0008695652173913044,227,3,2,2140,1712,1.8608695652173912
agalwood/Motrix,OSS,73,1,0.0136986301369863,0.888034188034188,53,0.726027397260274,0.9175506380985832,1,16,0.2191780821917808,18,1,1,1170,1039,16.027397260273972
NARKOZ/hacker-scripts,OSS,57,27,0.47368421052631576,0.8,45,0.7894736842105263,0.5894736842105264,2,2,0.03508771929824561,11,1,0,150,120,2.6315789473684212
moment/moment,OSS,686,97,0.141399416909621,0.8006889763779528,424,0.6180758017492711,0.7867121679943068,3,3,0.004373177842565598,233,24,5,4064,3254,5.924198250728863
facebook/react,OSS,1932,47,0.024327122153209108,0.8001063264221159,1327,0.6868530020703933,0.8802575218739146,8,34,0.017598343685300208,501,75,29,20691,16555,10.709627329192546
trekhleb/javascript-algorithms,OSS,222,18,0.08108108108108109,0.8,184,0.8288288288288288,0.7914092664092665,1,2,0.009009009009009009,36,1,1,1120,896,5.045045045045045
Chalarangelo/30-seconds-of-code,OSS,482,6,0.012448132780082987,0.8124692209199251,278,0.5767634854771784,0.9300971076144942,2,2,0.004149377593360996,178,17,9,10153,8249,21.064315352697097
nodejs/node,OSS,4347,169,0.03887738670347366,0.8003578617758891,2851,0.6558546123763515,0.8698893263886993,20,121,0.02783528870485392,1196,241,59,44712,35784,10.285714285714286
mrdoob/three.js,OSS,2360,40,0.01694915254237288,0.8005563221411832,1245,0.527542372881356,0.9147230379955475,3,68,0.0288135593220339,891,193,31,45657,36551,19.346186440677965
alexanderjeurissen/ranger_devicons,OSS,34,13,0.38235294117647056,0.8055555555555556,27,0.7941176470588235,0.6514161220043575,1,1,0.029411764705882353,6,1,0,108,87,3.176470588235294
jonrau1/ElectricEye,OSS,23,3,0.13043478260869565,0.838150289017341,7,0.30434782608695654,0.8398181361237407,1,3,0.13043478260869565,6,7,3,1903,1595,82.73913043478261
python-hyper/h2,OSS,60,2,0.03333333333333333,0.802536231884058,29,0.48333333333333334,0.9142109500805153,1,4,0.06666666666666667,23,6,2,1656,1329,27.6
unitedstates/congress,OSS,48,4,0.08333333333333333,0.8209718670076727,19,0.3958333333333333,0.8476129582267691,2,2,0.041666666666666664,22,5,2,782,642,16.291666666666668
paul-nameless/tg,OSS,21,3,0.14285714285714285,0.9186046511627907,13,0.6190476190476191,0.8479143595422665,1,2,0.09523809523809523,4,2,2,516,474,24.571428571428573
landing-ai/vision-agent,OSS,30,4,0.13333333333333333,0.8255494505494505,10,0.3333333333333333,0.817032967032967,2,8,0.26666666666666666,13,5,2,728,601,24.266666666666666
commonmark/commonmark-spec,OSS,109,2,0.01834862385321101,0.8667754214246873,69,0.6330275229357798,0.9171717776414186,1,2,0.01834862385321101,36,2,2,1839,1594,16.871559633027523
lyst/lightfm,OSS,47,6,0.1276595744680851,0.8219461697722568,23,0.48936170212765956,0.8137967490418925,1,3,0.06382978723404255,18,5,1,483,397,10.27659574468085
awslabs/gluonts,OSS,117,17,0.1452991452991453,0.8064733648010789,54,0.46153846153846156,0.8050901671940107,3,3,0.02564102564102564,44,17,2,1483,1196,12.675213675213675
wger-project/wger,OSS,262,2,0.007633587786259542,0.8420601908490335,136,0.5190839694656488,0.943386869930164,1,19,0.07251908396946564,102,20,4,8175,6883,31.202290076335878
smicallef/spiderfoot,OSS,60,5,0.08333333333333333,0.8634420096205238,30,0.5,0.8973899875289506,2,2,0.03333333333333333,16,8,6,3742,3231,62.36666666666667
chidiwilliams/buzz,OSS,24,2,0.08333333333333333,0.9204737732656514,15,0.625,0.8776790750141004,1,6,0.25,6,1,2,591,544,24.625
marimo-team/marimo,OSS,161,4,0.024844720496894408,0.8163057324840765,108,0.6708074534161491,0.9306199311627172,2,47,0.2919254658385093,40,8,5,3925,3204,24.37888198757764
ActivityWatch/activitywatch,OSS,33,1,0.030303030303030304,0.8832684824902723,20,0.6060606060606061,0.9213536139606178,1,1,0.030303030303030304,9,3,1,1028,908,31.151515151515152
lra/mackup,OSS,475,114,0.24,0.8003412969283277,263,0.5536842105263158,0.7267235494880546,3,6,0.01263157894736842,194,17,1,2344,1876,4.934736842105263
RVC-Boss/GPT-SoVITS,OSS,106,13,0.12264150943396226,0.8071216617210683,56,0.5283018867924528,0.8245059067241476,1,16,0.1509433962264151,40,9,1,1011,816,9.537735849056604
microsoft/autogen,OSS,530,55,0.10377358490566038,0.8016064257028113,355,0.6698113207547169,0.8044398979566061,8,49,0.09245283018867924,133,34,8,3735,2994,7.047169811320755
Asabeneh/30-Days-Of-Python,OSS,19,2,0.10526315789473684,0.835214446952596,3,0.15789473684210525,0.8230961150053464,1,2,0.10526315789473684,14,1,1,443,370,23.31578947368421
charlax/professional-programming,OSS,34,1,0.029411764705882353,0.9070796460176991,26,0.7647058823529411,0.8935450286309214,1,1,0.029411764705882353,7,0,1,452,410,13.294117647058824
minimaxir/big-list-of-naughty-strings,OSS,82,29,0.35365853658536583,0.8021978021978022,52,0.6341463414634146,0.6439292414902171,2,2,0.024390243902439025,29,0,1,273,219,3.3292682926829267
public-apis/public-apis,OSS,1375,468,0.34036363636363637,0.8000440917107584,976,0.7098181818181818,0.6609530222863556,10,1,0.0007272727272727272,378,14,7,4536,3629,3.298909090909091
vinta/awesome-python,OSS,445,127,0.2853932584269663,0.8009506833036245,301,0.6764044943820224,0.7002797305507154,2,1,0.0022471910112359553,141,1,2,1683,1348,3.7820224719101123
TheAlgorithms/Python,OSS,1282,573,0.4469578783151326,0.8001691093573844,871,0.6794071762870515,0.5746978808126395,85,13,0.01014040561622465,377,31,3,3553,2839,2.7714508580343216
Significant-Gravitas/AutoGPT,OSS,806,30,0.03722084367245657,0.8029591691563522,581,0.7208436724565757,0.8549552068407134,8,24,0.02977667493796526,181,27,17,7029,5644,8.720843672456576
AUTOMATIC1111/stable-diffusion-webui,OSS,653,61,0.09341500765696784,0.8006242684354272,296,0.45329249617151607,0.8413032918090462,3,29,0.0444104134762634,282,68,7,7689,6156,11.774885145482388
MCreator/MCreator,OSS,58,4,0.06896551724137931,0.8126964173475801,21,0.3620689655172414,0.9122434383059885,2,10,0.1724137931034483,20,9,8,6364,5172,109.72413793103448
sylvainhalle/textidote,OSS,33,2,0.06060606060606061,0.8366013071895425,25,0.7575757575757576,0.8512576747870866,1,3,0.09090909090909091,5,2,1,306,256,9.272727272727273
togglz/togglz,OSS,114,4,0.03508771929824561,0.8233355306526038,68,0.5964912280701754,0.8808069944141832,2,2,0.017543859649122806,39,4,3,1517,1249,13.307017543859649
apache/mina-sshd,OSS,105,3,0.02857142857142857,0.8428104575163399,70,0.6666666666666666,0.9333395580454404,2,7,0.06666666666666667,26,5,4,3060,2579,29.142857142857142
antlr/stringtemplate4,OSS,35,3,0.08571428571428572,0.8579940417080437,17,0.4857142857142857,0.8796141296637823,1,2,0.05714285714285714,12,3,3,1007,864,28.771428571428572
jankotek/mapdb,OSS,47,1,0.02127659574468085,0.9615736505032022,28,0.5957446808510638,0.9522298573124917,1,1,0.02127659574468085,18,0,1,2186,2102,46.51063829787234
killbill/killbill,OSS,66,4,0.06060606060606061,0.8086025729156437,17,0.25757575757575757,0.9096816143364312,2,5,0.07575757575757576,29,7,13,10183,8234,154.28787878787878
JodaOrg/joda-time,OSS,112,2,0.017857142857142856,0.8953084274543874,83,0.7410714285714286,0.9320156385751521,1,2,0.017857142857142856,23,4,2,2302,2061,20.553571428571427
react-native-linear-gradient/react-native-linear-gradient,OSS,109,20,0.1834862385321101,0.8037037037037037,72,0.6605504587155964,0.7288820931022766,4,1,0.009174311926605505,28,8,1,540,434,4.954128440366972
neo4j/neo4j,OSS,379,42,0.11081794195250659,0.8029283152360831,79,0.20844327176781002,0.8633562217883384,13,73,0.19261213720316622,112,94,94,81412,65368,214.80738786279684
quarkusio/quarkus,OSS,1316,24,0.0182370820668693,0.8009515667397687,706,0.5364741641337386,0.9472287415093761,6,105,0.0797872340425532,469,97,44,53806,43096,40.88601823708207
apache/pulsar,OSS,763,74,0.09698558322411534,0.8019707331421428,348,0.45609436435124506,0.8480276236486048,20,36,0.047182175622542594,272,109,34,13599,10906,17.823066841415464
elastic/logstash,OSS,593,27,0.045531197301854974,0.805029187247418,313,0.5278246205733558,0.8943787383264261,7,14,0.023608768971332208,212,44,24,11135,8964,18.777403035413155
hdodenhof/CircleImageView,OSS,15,1,0.06666666666666667,0.88125,11,0.7333333333333333,0.8391666666666666,1,1,0.06666666666666667,3,0,1,160,141,10.666666666666666
ReactiveX/RxJava,OSS,340,13,0.03823529411764706,0.8096153846153846,209,0.6147058823529412,0.9060350678733031,3,3,0.008823529411764706,96,24,11,6240,5052,18.352941176470587
skylot/jadx,OSS,153,4,0.026143790849673203,0.8066453162530024,82,0.5359477124183006,0.898449478537078,1,15,0.09803921568627451,55,15,1,2498,2015,16.326797385620914
