project_name,project_type,total_contributors,core_contributors,core_ratio,core_percentage_actual,one_time_contributors,one_time_ratio,gini_coefficient,bus_factor,active_contributors,active_ratio,casual_contributors,regular_contributors,heavy_contributors,total_commits,core_commits,commits_per_contributor
uber/RIBs,OSS,74,12,0.16216216216216217,0.8120805369127517,45,0.6081081081081081,0.7593869036822056,4,2,0.02702702702702703,17,11,1,596,484,8.054054054054054
http4s/http4s,OSS,488,18,0.036885245901639344,0.8044805376645198,168,0.3442622950819672,0.9142710403936998,3,4,0.00819672131147541,230,69,21,17855,14364,36.58811475409836
rubenlagus/TelegramBots,OSS,147,21,0.14285714285714285,0.8029772329246935,74,0.5034013605442177,0.789365833899234,3,4,0.027210884353741496,59,12,2,1142,917,7.7687074829931975
sferik/t-ruby,OSS,67,2,0.029850746268656716,0.8550046772684752,38,0.5671641791044776,0.8989011909582116,1,1,0.014925373134328358,25,3,1,1069,914,15.955223880597014
qbittorrent/qBittorrent,OSS,434,6,0.013824884792626729,0.8113616004777545,268,0.6175115207373272,0.9440465067638322,3,26,0.059907834101382486,131,22,13,13396,10869,30.86635944700461
heroku/heroku-buildpack-nodejs,OSS,67,8,0.11940298507462686,0.8373493975903614,37,0.5522388059701493,0.8410848277778686,4,4,0.05970149253731343,17,5,8,1826,1529,27.253731343283583
GeekyAnts/NativeBase,OSS,288,19,0.06597222222222222,0.8095463884937569,160,0.5555555555555556,0.8784875884656584,8,2,0.006944444444444444,86,25,17,6327,5122,21.96875
dariuszseweryn/RxAndroidBle,OSS,52,3,0.057692307692307696,0.8486646884272997,32,0.6153846153846154,0.8950962489538159,1,1,0.019230769230769232,13,5,2,1011,858,19.442307692307693
boto/boto,OSS,662,49,0.07401812688821752,0.8008310249307479,331,0.5,0.8469587667690452,5,1,0.0015105740181268882,272,50,9,7220,5782,10.906344410876132
HandBrake/HandBrake,OSS,171,9,0.05263157894736842,0.8245935424776735,76,0.4444444444444444,0.9234204254753109,3,9,0.05263157894736842,54,25,16,13101,10803,76.6140350877193
BehaviorTree/BehaviorTree.CPP,OSS,138,3,0.021739130434782608,0.8170155300472653,87,0.6304347826086957,0.8777314583761462,1,7,0.050724637681159424,44,6,1,1483,1210,10.746376811594203
splitrb/split,OSS,182,31,0.17032967032967034,0.8,94,0.5164835164835165,0.7789978021978021,2,2,0.01098901098901099,82,4,2,1250,1000,6.868131868131868
h2non/bimg,OSS,71,6,0.08450704225352113,0.8048780487804879,40,0.5633802816901409,0.8146112447039964,2,2,0.028169014084507043,25,4,2,615,495,8.661971830985916
google/brotli,OSS,125,10,0.08,0.8103579588728104,85,0.68,0.8414562071591773,3,12,0.096,24,11,5,1313,1064,10.504
kartik-v/bootstrap-fileinput,OSS,160,1,0.00625,0.8171384850803366,117,0.73125,0.8616344682478958,1,4,0.025,41,1,1,1307,1068,8.16875
WebAssembly/binaryen,OSS,204,4,0.0196078431372549,0.8117706111180826,109,0.5343137254901961,0.9439636188268756,1,15,0.07352941176470588,66,20,9,7969,6469,39.06372549019608
trimstray/the-book-of-secret-knowledge,OSS,120,4,0.03333333333333333,0.8185219831618334,86,0.7166666666666667,0.8640551917680075,1,1,0.008333333333333333,28,5,1,1069,875,8.908333333333333
dabeaz/curio,OSS,60,2,0.03333333333333333,0.8293193717277487,36,0.6,0.8966666666666667,1,1,0.016666666666666666,18,5,1,955,792,15.916666666666666
