project_name,type,source,verification_method,language_group,tier,stars,language
vugu/vugu,OSS,systematic_collection,github_api_realtime,other,tier2,4962,Go
Genymobile/scrcpy,OSS,systematic_collection,github_api_realtime,other,tier4,125842,C
netdata/netdata,OSS,systematic_collection,github_api_realtime,other,tier4,75274,C
redis/redis,OSS,systematic_collection,github_api_realtime,other,tier4,70254,C
ventoy/Ventoy,OSS,systematic_collection,github_api_realtime,other,tier4,69516,C
obsproject/obs-studio,OSS,systematic_collection,github_api_realtime,other,tier4,65948,C
avelino/awesome-go,OSS,systematic_collection,github_api_realtime,other,tier5,148752,Go
ollama/ollama,OSS,systematic_collection,github_api_realtime,other,tier5,148202,Go
golang/go,OSS,systematic_collection,github_api_realtime,other,tier5,129151,Go
kubernetes/kubernetes,OSS,systematic_collection,github_api_realtime,other,tier5,116627,Go
fatedier/frp,OSS,systematic_collection,github_api_realtime,other,tier5,96748,Go
