project_name,type,source,verification_method
uber/RIBs,OSS,original_filtered,systematic_filtering_by_researchers
http4s/http4s,OSS,original_filtered,systematic_filtering_by_researchers
rubenlagus/TelegramBots,OSS,original_filtered,systematic_filtering_by_researchers
sferik/t-ruby,OSS,original_filtered,systematic_filtering_by_researchers
qbittorrent/qBittorrent,OSS,original_filtered,systematic_filtering_by_researchers
heroku/heroku-buildpack-nodejs,OSS,original_filtered,systematic_filtering_by_researchers
GeekyAnts/NativeBase,OSS,original_filtered,systematic_filtering_by_researchers
dariuszseweryn/RxAndroidBle,OSS,original_filtered,systematic_filtering_by_researchers
boto/boto,OSS,original_filtered,systematic_filtering_by_researchers
HandBrake/HandBrake,OSS,original_filtered,systematic_filtering_by_researchers
BehaviorTree/BehaviorTree.CPP,OSS,original_filtered,systematic_filtering_by_researchers
splitrb/split,OSS,original_filtered,systematic_filtering_by_researchers
h2non/bimg,OSS,original_filtered,systematic_filtering_by_researchers
google/brotli,OSS,original_filtered,systematic_filtering_by_researchers
kartik-v/bootstrap-fileinput,OSS,original_filtered,systematic_filtering_by_researchers
WebAssembly/binaryen,OSS,original_filtered,systematic_filtering_by_researchers
trimstray/the-book-of-secret-knowledge,OSS,original_filtered,systematic_filtering_by_researchers
dabeaz/curio,OSS,original_filtered,systematic_filtering_by_researchers
mitchellkrogza/apache-ultimate-bad-bot-blocker,OSS,original_filtered,systematic_filtering_by_researchers
greenrobot/EventBus,OSS,original_filtered,systematic_filtering_by_researchers
boto/boto3,OSS,original_filtered,systematic_filtering_by_researchers
presidentbeef/brakeman,OSS,original_filtered,systematic_filtering_by_researchers
square/okhttp,OSS,original_filtered,systematic_filtering_by_researchers
hibernate/hibernate-orm,OSS,original_filtered,systematic_filtering_by_researchers
gunthercox/ChatterBot,OSS,original_filtered,systematic_filtering_by_researchers
Baekalfen/PyBoy,OSS,original_filtered,systematic_filtering_by_researchers
lets-blade/blade,OSS,original_filtered,systematic_filtering_by_researchers
bioconda/bioconda-recipes,OSS,original_filtered,systematic_filtering_by_researchers
voxpupuli/beaker,OSS,original_filtered,systematic_filtering_by_researchers
OpenMathLib/OpenBLAS,OSS,original_filtered,systematic_filtering_by_researchers
jenkinsci/bitbucket-branch-source-plugin,OSS,original_filtered,systematic_filtering_by_researchers
opensourceBIM/BIMserver,OSS,original_filtered,systematic_filtering_by_researchers
coolsnowwolf/lede,OSS,original_filtered,systematic_filtering_by_researchers
elastic/beats,OSS,original_filtered,systematic_filtering_by_researchers
mozilla/bedrock,OSS,original_filtered,systematic_filtering_by_researchers
BytomDAO/bytom,OSS,original_filtered,systematic_filtering_by_researchers
bokeh/bokeh,OSS,original_filtered,systematic_filtering_by_researchers
blynkkk/blynk-library,OSS,original_filtered,systematic_filtering_by_researchers
hhxsv5/laravel-s,OSS,original_filtered,systematic_filtering_by_researchers
malwaredllc/byob,OSS,original_filtered,systematic_filtering_by_researchers
ReFirmLabs/binwalk,OSS,original_filtered,systematic_filtering_by_researchers
BLCM/BLCMods,OSS,original_filtered,systematic_filtering_by_researchers
bootstrap-vue/bootstrap-vue,OSS,original_filtered,systematic_filtering_by_researchers
boostorg/boost,OSS,original_filtered,systematic_filtering_by_researchers
google/blockly,OSS,original_filtered,systematic_filtering_by_researchers
jarun/buku,OSS,original_filtered,systematic_filtering_by_researchers
bkaradzic/bgfx,OSS,original_filtered,systematic_filtering_by_researchers
davidstutz/bootstrap-multiselect,OSS,original_filtered,systematic_filtering_by_researchers
philc/vimium,OSS,original_filtered,systematic_filtering_by_researchers
